Date,VNI_Close,Change,Volume,Transaction_value,a,b,c,d
29/12/2020,"1099,49","+8,16(+0,75%)",678.818.432,"14.457,00 tỷ",30.291.620,"788,38 tỷ",33.118.880,"1.156,38 tỷ"
28/12/2020,"1091,33","+6,91(+0,64%)",723.882.551,"14.587,00 tỷ",32.878.070,"787,06 tỷ",43.315.330,"1.134,24 tỷ"
25/12/2020,"1084,42","+16,90(+1,58%)",652.808.639,"12.918,00 tỷ",16.152.250,"322,67 tỷ",26.319.070,"562,44 tỷ"
24/12/2020,"1067,52","-11,38(-1,05%)",757.318.877,"14.181,00 tỷ",22.568.300,"691,10 tỷ",32.194.482,"766,04 tỷ"
23/12/2020,"1078,90","-4,55(-0,42%)",813.169.564,"14.949,00 tỷ",31.269.163,"1.008,98 tỷ",44.704.126,"1.174,25 tỷ"
22/12/2020,"1083,45","+2,37(+0,22%)",756.114.347,"14.590,00 tỷ",27.107.800,"801,32 tỷ",32.214.150,"885,24 tỷ"
21/12/2020,"1081,08","+13,62(+1,28%)",713.662.252,"14.336,00 tỷ",36.407.320,"978,42 tỷ",37.438.480,"833,99 tỷ"
18/12/2020,"1067,46","+15,69(+1,49%)",623.638.382,"13.237,00 tỷ",57.877.860,"1.715,08 tỷ",58.481.260,"1.667,92 tỷ"
17/12/2020,"1051,77","-15,22(-1,43%)",667.888.063,"14.531,00 tỷ",31.066.870,"916,80 tỷ",55.305.730,"1.695,48 tỷ"
16/12/2020,"1066,99","+11,72(+1,11%)",591.566.382,"11.861,61 tỷ",30.785.210,"878,84 tỷ",39.995.125,"1.105,35 tỷ"
15/12/2020,"1055,27","-8,82(-0,83%)",675.180.208,"13.552,00 tỷ",42.382.250,"1.123,69 tỷ",64.300.424,"1.949,07 tỷ"
14/12/2020,"1064,09","+18,13(+1,73%)",583.588.995,"12.619,00 tỷ",47.734.010,"1.344,21 tỷ",64.074.564,"1.807,34 tỷ"
11/12/2020,"1045,96","+15,05(+1,46%)",463.771.359,"10.557,00 tỷ",46.103.697,"1.572,20 tỷ",34.266.390,"887,89 tỷ"
10/12/2020,"1030,91","-8,22(-0,79%)",626.451.597,"13.353,00 tỷ",48.926.920,"1.360,50 tỷ",43.324.994,"1.138,06 tỷ"
09/12/2020,"1039,13","+9,87(+0,96%)",586.051.690,"11.708,00 tỷ",31.178.920,"899,92 tỷ",34.713.150,"866,26 tỷ"
08/12/2020,"1029,26","-0,72(-0,07%)",527.667.121,"10.517,00 tỷ",34.197.760,"851,12 tỷ",37.359.000,"920,31 tỷ"
07/12/2020,"1029,98","+8,49(+0,83%)",520.338.686,"10.096,00 tỷ",33.560.650,"858,89 tỷ",29.784.870,"626,56 tỷ"
04/12/2020,"1021,49","+1,69(+0,17%)",553.590.343,"10.700,00 tỷ",35.861.770,"954,89 tỷ",39.606.076,"998,23 tỷ"
03/12/2020,"1019,80","+5,48(+0,54%)",518.905.499,"9.695,82 tỷ",44.879.910,"1.211,58 tỷ",28.993.280,"763,65 tỷ"
02/12/2020,"1014,32","+5,45(+0,54%)",684.524.912,"14.083,39 tỷ",41.309.260,"1.202,86 tỷ",102.420.984,"2.208,22 tỷ"
01/12/2020,"1008,87","+5,79(+0,58%)",583.307.874,"11.311,43 tỷ",50.477.890,"1.281,39 tỷ",34.279.910,"887,37 tỷ"
30/11/2020,"1003,08","-7,14(-0,71%)",532.930.170,"10.808,69 tỷ",50.026.040,"1.371,78 tỷ",42.313.734,"1.240,73 tỷ"
27/11/2020,"1010,22","+4,25(+0,42%)",446.435.493,"9.483,47 tỷ",51.782.631,"1.490,45 tỷ",48.052.458,"1.419,01 tỷ"
26/11/2020,"1005,97","+6,03(+0,60%)",493.557.788,"10.031,27 tỷ",31.840.392,"765,71 tỷ",49.537.712,"1.239,97 tỷ"
25/11/2020,"999,94","+4,18(+0,42%)",475.736.585,"10.678,13 tỷ",28.318.900,"696,84 tỷ",37.082.044,"865,59 tỷ"
24/11/2020,"995,76","+1,57(+0,16%)",550.067.967,"12.134,98 tỷ",36.867.534,"974,14 tỷ",36.728.766,"840,00 tỷ"
23/11/2020,"994,19","+4,19(+0,42%)",529.268.908,"10.356,38 tỷ",30.364.960,"1.036,28 tỷ",34.508.910,"880,20 tỷ"
20/11/2020,"990,00","+6,74(+0,69%)",501.052.016,"9.369,48 tỷ",29.382.090,"768,99 tỷ",29.401.400,"658,77 tỷ"
19/11/2020,"983,26","+9,73(+1,00%)",500.118.822,"10.528,83 tỷ",34.103.030,"1.108,20 tỷ",28.964.790,"708,99 tỷ"
18/11/2020,"973,53","+4,63(+0,48%)",478.682.286,"9.818,91 tỷ",28.578.560,"1.023,71 tỷ",26.986.370,"565,57 tỷ"
17/11/2020,"968,90","+18,11(+1,90%)",400.955.086,"7.743,67 tỷ",32.145.052,"803,45 tỷ",39.782.221,"922,53 tỷ"
16/11/2020,"950,79","-15,50(-1,60%)",518.930.355,"10.057,24 tỷ",27.015.921,"736,49 tỷ",43.049.621,"1.141,23 tỷ"
13/11/2020,"966,29","+7,01(+0,73%)",457.828.978,"7.802,11 tỷ",27.848.970,"922,62 tỷ",29.107.510,"715,13 tỷ"
12/11/2020,"959,28","+7,06(+0,74%)",367.743.362,"5.882,97 tỷ",18.787.510,"437,81 tỷ",24.519.719,"572,96 tỷ"
11/11/2020,"952,22","+0,32(+0,03%)",399.291.676,"7.682,98 tỷ",23.809.000,"648,47 tỷ",42.846.420,"1.240,52 tỷ"
10/11/2020,"951,90","-0,09(-0,01%)",456.747.250,"9.335,48 tỷ",26.787.427,"712,23 tỷ",48.975.463,"1.472,29 tỷ"
09/11/2020,"951,99","+13,70(+1,46%)",393.195.035,"7.883,09 tỷ",27.441.930,"795,10 tỷ",31.707.690,"1.004,13 tỷ"
06/11/2020,"938,29","+0,54(+0,06%)",268.232.099,"5.359,96 tỷ",14.616.660,"472,95 tỷ",23.140.110,"624,06 tỷ"
05/11/2020,"937,75","-2,01(-0,21%)",304.332.571,"6.380,14 tỷ",18.533.914,"608,02 tỷ",19.790.394,"582,63 tỷ"
04/11/2020,"939,76","+4,35(+0,47%)",350.871.986,"7.042,11 tỷ",15.152.860,"342,27 tỷ",33.859.114,"981,19 tỷ"
03/11/2020,"935,41","+1,73(+0,19%)",318.702.179,"6.306,11 tỷ",14.174.659,"399,20 tỷ",29.730.999,"1.055,93 tỷ"
02/11/2020,"933,68","+8,21(+0,89%)",297.601.123,"5.343,81 tỷ",13.432.360,"330,95 tỷ",25.858.880,"838,30 tỷ"
30/10/2020,"925,47","+6,39(+0,70%)",312.753.239,"6.557,65 tỷ",18.772.550,"608,13 tỷ",34.671.480,"1.181,00 tỷ"
29/10/2020,"919,08","-1,97(-0,21%)",436.132.930,"8.000,70 tỷ",22.626.020,"603,43 tỷ",24.317.780,"941,65 tỷ"
28/10/2020,"921,05","-25,42(-2,69%)",456.058.310,"9.019,37 tỷ",29.316.839,"735,78 tỷ",39.765.549,"1.217,11 tỷ"
27/10/2020,"946,47","-4,33(-0,46%)",455.852.375,"8.733,07 tỷ",39.747.891,"974,08 tỷ",44.889.481,"1.146,72 tỷ"
26/10/2020,"950,80","-10,46(-1,09%)",428.249.098,"8.550,87 tỷ",13.801.730,"349,41 tỷ",26.022.930,"770,35 tỷ"
